Idx,Ratio,Train,Val,Stuff,Name,use
93,0.0007,178,17,0,apparel;wearing;apparel;dress;clothes,0
94,0.0006,1003,104,0,pole,0
95,0.0006,182,12,1,land;ground;soil,1
96,0.0006,452,50,0,bannister;banister;balustrade;balusters;handrail,0
97,0.0006,42,6,1,escalator;moving;staircase;moving;stairway,0
98,0.0006,307,31,0,ottoman;pouf;pouffe;puff;hassock,0
99,0.0006,965,114,0,bottle,0
100,0.0006,117,13,0,buffet;counter;sideboard,0
101,0.0006,354,35,0,poster;posting;placard;notice;bill;card,0
102,0.0006,108,9,1,stage,0
103,0.0006,557,55,0,van,0
104,0.0006,52,4,0,ship,0
105,0.0005,99,5,0,fountain,0
106,0.0005,57,4,1,conveyer;belt;conveyor;belt;conveyer;conveyor;transporter,0
107,0.0005,292,31,0,canopy,0
108,0.0005,77,9,0,washer;automatic;washer;washing;machine,0
109,0.0005,340,38,0,plaything;toy,0
110,0.0005,66,3,1,swimming;pool;swimming;bath;natatorium,0
111,0.0005,465,49,0,stool,0
112,0.0005,50,4,0,barrel;cask,0
113,0.0005,622,75,0,basket;handbasket,0
114,0.0005,80,9,1,waterfall;falls,0
115,0.0005,59,3,0,tent;collapsible;shelter,0
116,0.0005,531,72,0,bag,0
117,0.0005,282,30,0,minibike;motorbike,0
118,0.0005,73,7,0,cradle,0
119,0.0005,435,44,0,oven,0
120,0.0005,136,25,0,ball,0
121,0.0005,116,24,0,food;solid;food,0
122,0.0004,266,31,0,step;stair,0
123,0.0004,58,12,0,tank;storage;tank,0
124,0.0004,418,83,0,trade;name;brand;name;brand;marque,0
125,0.0004,319,43,0,microwave;microwave;oven,0
126,0.0004,1193,139,0,pot;flowerpot,0
127,0.0004,97,23,0,animal;animate;being;beast;brute;creature;fauna,0
128,0.0004,347,36,0,bicycle;bike;wheel;cycle,0
129,0.0004,52,5,1,lake,0
130,0.0004,246,22,0,dishwasher;dish;washer;dishwashing;machine,0
131,0.0004,108,13,0,screen;silver;screen;projection;screen,0
132,0.0004,201,30,0,blanket;cover,0
133,0.0004,285,21,0,sculpture,0
134,0.0004,268,27,0,hood;exhaust;hood,0
135,0.0003,1020,108,0,sconce,0
136,0.0003,1282,122,0,vase,0
137,0.0003,528,65,0,traffic;light;traffic;signal;stoplight,0
138,0.0003,453,57,0,tray,0
139,0.0003,671,100,0,ashcan;trash;can;garbage;can;wastebin;ash;bin;ash-bin;ashbin;dustbin;trash;barrel;trash;bin,0
140,0.0003,397,44,0,fan,0
141,0.0003,92,8,1,pier;wharf;wharfage;dock,0
142,0.0003,228,18,0,crt;screen,0
143,0.0003,570,59,0,plate,0
144,0.0003,217,22,0,monitor;monitoring;device,0
145,0.0003,206,19,0,bulletin;board;notice;board,0
146,0.0003,130,14,0,shower,0
147,0.0003,178,28,0,radiator,0
148,0.0002,504,57,0,glass;drinking;glass,0
149,0.0002,775,96,0,clock,0
150,0.0002,421,56,0,flag,0
